# MTOV      MMAX
2.68517  3.32380436304311
2.73093  3.3784683724943387
2.73075  3.4916570654991665
2.71855  3.4383460081206025
2.7206  3.544708589870943
2.71823  3.3904670939419104
2.7251  3.5891116479051832
2.73242  3.34381199196222
2.71605  3.3428487708477537
2.71605  3.739587003014379
2.71605  3.4497908452015547
2.71587  3.5751674948490604
2.71539  3.4903127474111746
2.69299  3.5028725686702953
2.70279  3.313996882232041
2.71911  3.2586694159861045
2.71911  3.3513902430229456
2.71611  3.505734552829792
2.71205  3.2623769012525616
2.73351  3.2049320480978283
2.73351  3.256438930507009
2.73427  3.2332050232492247
2.74117  3.4717722141135106
2.73281  3.3465392875837234
2.69954  3.332537287165423
2.69875  3.6493946900664462
2.70468  3.455085456391659
2.67544  3.26328013336665
2.73468  3.3826955867635315
2.73468  3.409064836755284
2.73397  3.4866447439137884
2.73287  3.3500023263666665
2.71768  3.4026816136768177
2.71506  3.4650839100541133
2.71503  3.3928839676269362
2.71585  3.4311839981175316
2.71561  3.25565393177468
2.71561  3.3139552016462264
2.70681  3.422358270171388
2.66099  3.3933048482346235
2.73973  3.43153479115872
2.74087  3.2249798021456653
2.74085  3.3248215134590167
2.7386  3.42244467530938
2.75431  3.30928860946322
2.75382  3.486006976601588
2.74982  3.508047682273889
2.74931  3.308082051064205
2.74897  3.4349268819907706
2.74869  3.385461854604306
2.74836  3.651020499850717
2.68197  3.149586985184933
2.68226  3.2837068780270644
2.68476  3.354701432128909
2.67425  3.1733318994307655
2.67408  3.365078866514267
2.7235  3.453737283262874
2.72301  3.428981356902893
2.72301  3.326184862115806
2.72759  3.433531390360676
2.72759  3.5955039472473316
2.72397  3.4605931606621274
2.72386  3.4820851805008353
2.721  3.331489946472824
2.72205  3.454320334328304
2.71742  3.3583180796291763
2.72056  3.34060845683866
2.72126  3.5398181206516925
2.72495  3.283618469623575
2.72601  3.4805990378834024
2.72602  3.3162235396105206
2.72212  3.5432207318121622
2.71661  3.4825131067407535
2.71249  3.5141689779100798
2.71571  3.5229605434243862
2.72203  3.378620539296474
2.70974  3.564846084265757
2.70712  3.390430444033976
2.673  3.36887492966519
2.72121  3.664732013662335
2.72122  3.439638874618711
2.71658  3.452342627039607
2.71413  3.248883232262725
2.67009  3.3749625549425106
2.66625  3.2889745618356727
2.69519  3.3808404641813854
2.69612  3.4624111011486716
2.6904  3.4914471710791126
2.69521  3.3997343568042164
2.69468  3.468758959511497
2.69704  3.320600379917995
2.69704  3.2595487115329815
2.69424  3.193552376251508
2.73626  3.649953671800453
2.73601  3.50495396861252
2.7402  3.5477760731696697
2.73996  3.447689308182287
2.74265  3.226030428161482
2.73952  3.4767703600498705
2.74018  3.3307240056456537
2.72179  3.1728348927115473
2.72822  3.3938522738355
2.72828  3.4252193520940395
2.73134  3.4035506895251677
2.72596  3.501502057391945
2.72727  3.7068468960437095
2.72725  3.466736003555799
2.72937  3.4825897679611133
2.72963  3.3316464810770676
2.7299  3.5605071511365827
2.7299  3.348051799008331
2.7275  3.467399137638627
2.74815  3.4482761371534245
2.74822  3.2579309524628077
2.74814  3.5105863462915776
2.74383  3.5206189277784974
2.73479  3.409850965907112
2.73487  3.3390315490197544
2.73436  3.4413310334932294
2.74279  3.410679363897672
2.74314  3.4158917804736864
